Lib Caller, Lib Name
java.lang.Object_clinit.meth,java.lang.Object_native_registerNatives
java.io.Bits_getFloat_byte_arr_int.meth,java.lang.Float_native_intBitsToFloat_int
java.io.Bits_getDouble_byte_arr_int.meth,java.lang.Double_native_longBitsToDouble_long
java.lang.Float_floatToIntBits_float.meth,java.lang.Float_native_floatToRawIntBits_float
java.lang.Double_doubleToLongBits_double.meth,java.lang.Double_native_doubleToRawLongBits_double
java.io.BufferedInputStream_getInIfOpen.meth,java.io.IOException_init_java.lang.String
java.io.BufferedInputStream_clinit.meth,java.util.concurrent.atomic.AtomicReferenceFieldUpdater_newUpdater_java.lang.Class_java.lang.Class_java.lang.String
java.io.BufferedInputStream_getBufIfOpen.meth,java.io.IOException_init_java.lang.String
java.io.BufferedInputStream_init_java.io.InputStream_int.meth,java.lang.IllegalArgumentException_init_java.lang.String
java.io.BufferedInputStream_fill.meth,java.lang.System_native_arraycopy_java.lang.Object_int_java.lang.Object_int_int
java.lang.Error_init_java.lang.String.meth,java.lang.Throwable_init_java.lang.String
java.io.BufferedInputStream_fill.meth,java.lang.System_native_arraycopy_java.lang.Object_int_java.lang.Object_int_int
java.io.BufferedInputStream_fill.meth,java.util.concurrent.atomic.AtomicReferenceFieldUpdater_compareAndSet_java.lang.Object_java.lang.Object_java.lang.Object
java.io.BufferedInputStream_fill.meth,java.io.IOException_init_java.lang.String
java.io.InputStream_read_byte_arr_int_int.meth,java.lang.NullPointerException_init
java.io.InputStream_read_byte_arr_int_int.meth,java.lang.IndexOutOfBoundsException_init
java.io.BufferedInputStream_read1_byte_arr_int_int.meth,java.lang.System_native_arraycopy_java.lang.Object_int_java.lang.Object_int_int
java.io.BufferedInputStream_read_byte_arr_int_int.meth,java.lang.IndexOutOfBoundsException_init
java.io.BufferedInputStream_reset.meth,java.io.IOException_init_java.lang.String
java.io.BufferedInputStream_close.meth,java.util.concurrent.atomic.AtomicReferenceFieldUpdater_compareAndSet_java.lang.Object_java.lang.Object_java.lang.Object
java.io.BufferedOutputStream_init_java.io.OutputStream_int.meth,java.lang.IllegalArgumentException_init_java.lang.String
java.io.OutputStream_write_byte_arr_int_int.meth,java.lang.NullPointerException_init
java.io.OutputStream_write_byte_arr_int_int.meth,java.lang.IndexOutOfBoundsException_init
