Lib Caller, Lib Name
java.lang.Error_init.meth,java.lang.Throwable_init
java.util.ArrayDeque_doubleCapacity.meth,java.lang.IllegalStateException_init_java.lang.String
java.util.ArrayDeque_doubleCapacity.meth,java.lang.System_native_arraycopy_java.lang.Object_int_java.lang.Object_int_int
java.util.ArrayDeque_doubleCapacity.meth,java.lang.System_native_arraycopy_java.lang.Object_int_java.lang.Object_int_int
java.util.ArrayDeque_copyElements_java.lang.Object_arr.meth,java.lang.System_native_arraycopy_java.lang.Object_int_java.lang.Object_int_int
java.util.ArrayDeque_copyElements_java.lang.Object_arr.meth,java.lang.System_native_arraycopy_java.lang.Object_int_java.lang.Object_int_int
java.util.ArrayDeque_copyElements_java.lang.Object_arr.meth,java.lang.System_native_arraycopy_java.lang.Object_int_java.lang.Object_int_int
java.lang.Object_clinit.meth,java.lang.Object_native_registerNatives
java.util.ArrayList$SubList_checkForComodification.meth,java.util.ConcurrentModificationException_init
java.util.SubList_checkForComodification.meth,java.util.ConcurrentModificationException_init
java.util.WeakHashMap_expungeStaleEntries.meth,java.lang.ref.ReferenceQueue_poll
java.util.Random$RandomIntsSpliterator_tryAdvance_java.util.function.IntConsumer.meth,java.lang.NullPointerException_init
java.util.Random_nextInt_int.meth,java.lang.IllegalArgumentException_init_java.lang.String
java.util.Random_next_int.meth,java.util.concurrent.atomic.AtomicLong_get
java.util.Random_next_int.meth,java.util.concurrent.atomic.AtomicLong_compareAndSet_long_long
java.util.Random$RandomIntsSpliterator_tryAdvance_java.util.function.IntConsumer.meth,java.util.function.IntConsumer_accept_int
java.util.Spliterators$IntIteratorSpliterator_tryAdvance_java.util.function.IntConsumer.meth,java.lang.NullPointerException_init
java.util.Random$RandomLongsSpliterator_tryAdvance_java.util.function.LongConsumer.meth,java.lang.NullPointerException_init
java.util.Random$RandomLongsSpliterator_tryAdvance_java.util.function.LongConsumer.meth,java.util.function.LongConsumer_accept_long
java.util.Objects_requireNonNull_java.lang.Object.meth,java.lang.NullPointerException_init
java.util.Spliterators$LongArraySpliterator_tryAdvance_java.util.function.LongConsumer.meth,java.lang.NullPointerException_init
java.util.Spliterators$LongArraySpliterator_tryAdvance_java.util.function.LongConsumer.meth,java.util.function.LongConsumer_accept_long
java.util.Spliterators$LongIteratorSpliterator_tryAdvance_java.util.function.LongConsumer.meth,java.lang.NullPointerException_init
java.util.Random$RandomDoublesSpliterator_tryAdvance_java.util.function.DoubleConsumer.meth,java.lang.NullPointerException_init
java.lang.Double_doubleToLongBits_double.meth,java.lang.Double_native_doubleToRawLongBits_double
