methodID;algoId;nb_prims;nb_refs;nb_stms;total_time;nb_symb_heap_typ_vars;nb_symb_heap_mut_refs;nb_symb_heap_const_refs;nb_symb_heap_mut_rel_vars;nb_symb_heap_const_rel_vars;nb_scfg_locations;nb_scfg_transitions;nb_scfg_variables;nb_scfg_state_variables;nb_scfg_input_variables;nb_scfg_contr_variables;max_scfg_in_degree;max_scfg_out_degree;model_instantiation_time;support_size;scfg_generation_time;synthesis_time;triangularization_time;summarization;unsat_guard;true_guard

java.util.Objects_requireNonNull_java.lang.Object_java.lang.String.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;4;5;34162.0;3;1;2;6;1;7;8;57;40;2;15;2;2;7719;9;2659;28990;2513;done;false;true
java.util.Collections$SetFromMap_clear.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;3;2749.0;2;1;1;4;0;4;3;23;18;2;3;1;1;14810;3;1957;702;90;done;false;false
java.nio.ByteBuffer_compare_byte_byte.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;3;1;2;780.0;0;0;0;0;0;3;2;10;6;2;2;1;1;14490;2;120;590;70;done;false;true
java.security.BasicPermission_init_java.lang.String_java.lang.String.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;4;3;20539.0;3;0;3;9;1;4;3;75;51;2;22;1;1;18140;16;1723;14430;4386;done;false;true
java.util.Formatter$FormatSpecifier_toString.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;12;16;44;35800.0;15;14;1;92;0;51;62;260;251;2;7;2;2;0;0;35800;0;0;skipped;null;null
java.io.OutputStreamWriter_flush.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;3;2537.0;2;1;1;4;0;4;3;23;18;2;3;1;1;3336;3;1766;680;91;done;false;false
java.util.Hashtable_access$100_java.util.Hashtable_int.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;1;3;2;3481.0;2;1;1;4;0;3;2;32;23;2;7;1;1;15050;4;2135;1119;227;done;false;true
java.lang.InternalError_init_java.lang.String.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;2;2093.0;2;0;2;1;0;3;2;25;16;2;7;1;1;14630;5;352;1507;234;done;false;true
java.io.Console_access$500.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;1;1;2;735.0;0;0;0;0;0;3;2;8;4;2;2;1;1;14590;0;113;556;66;done;false;true
java.lang.Character_highSurrogate_int.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;4;1;4;853.0;0;0;0;0;0;5;4;11;7;2;2;1;1;3318;1;128;647;78;done;false;true
java.util.JapaneseImperialCalendar_init_java.util.TimeZone_java.util.Locale.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;1;6;8;55092.0;5;2;3;25;0;9;8;113;89;2;22;1;1;19700;15;8970;41410;4712;done;false;false
java.util.ServiceLoader$LazyIterator$1_init_java.util.ServiceLoader$LazyIterator.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;3;13306.0;2;0;2;4;0;4;3;45;29;2;14;1;1;17600;8;3317;8710;1279;done;false;true
java.util.TreeMap_rotateLeft_java.util.TreeMap$Entry.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;13;25;36060.0;12;10;2;199;0;29;36;453;444;2;7;3;3;0;0;36060;0;0;skipped;null;null
java.security.Provider$EngineDescription_init_java.lang.String_boolean_java.lang.String.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;1;4;5;27517.0;3;0;3;9;1;6;5;76;52;2;22;1;1;17680;17;4055;19380;4082;done;false;true
java.util.Spliterators$IntArraySpliterator_tryAdvance_java.util.function.IntConsumer.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;6;5;17;99971.0;4;2;2;7;0;19;24;53;43;2;8;3;4;11620;8;3492;95810;669;done;false;true
java.util.TreeMap$NavigableSubMap$SubMapIterator_removeDescending.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;3;12;23;33470.0;11;10;1;106;0;25;28;259;254;2;3;3;3;0;0;33470;0;0;skipped;null;null
java.util.TimeZone_getDSTSavings.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;1;2;4;2603.0;1;0;1;1;0;6;7;19;13;2;4;2;2;4173;3;403;2076;124;done;false;true
