org.apache.bookkeeper.http.vertx.VertxHttpHandlerFactory.meth,obj_level(this),pc ⊔ level(httpServiceProvider) ⊔ level(this) ⊔ obj_level(httpServiceProvider) ⊔ obj_level(this)
org.apache.bookkeeper.http.vertx.VertxHttpServer$1.meth,obj_level(l3),pc ⊔ level(l3) ⊔ level(this) ⊔ level(this$0) ⊔ level(x0) ⊔ obj_level(l3) ⊔ obj_level(this) ⊔ obj_level(this$0) ⊔ obj_level(x0)
org.apache.bookkeeper.http.vertx.VertxHttpServer$1.meth,obj_level(this),pc ⊔ level(l3) ⊔ level(this) ⊔ level(this$0) ⊔ level(x0) ⊔ obj_level(l3) ⊔ obj_level(this) ⊔ obj_level(this$0) ⊔ obj_level(x0)
org.apache.bookkeeper.http.vertx.VertxHttpServer$1.meth,obj_level(this$0),pc ⊔ level(l3) ⊔ level(this) ⊔ level(this$0) ⊔ level(x0) ⊔ obj_level(l3) ⊔ obj_level(this) ⊔ obj_level(this$0) ⊔ obj_level(x0)
org.apache.bookkeeper.http.vertx.VertxHttpServer$2.meth,obj_level(l4),pc ⊔ level(l2) ⊔ level(l3) ⊔ level(l4) ⊔ level(l5) ⊔ level(l6) ⊔ level(this) ⊔ level(this$0) ⊔ obj_level(l2) ⊔ obj_level(l4) ⊔ obj_level(l5) ⊔ obj_level(l6) ⊔ obj_level(this) ⊔ obj_level(this$0)
org.apache.bookkeeper.http.vertx.VertxHttpServer$2.meth,obj_level(this$0),pc ⊔ level(l2) ⊔ level(l3) ⊔ level(l4) ⊔ level(l5) ⊔ level(l6) ⊔ level(this) ⊔ level(this$0) ⊔ obj_level(l2) ⊔ obj_level(l4) ⊔ obj_level(l5) ⊔ obj_level(l6) ⊔ obj_level(this) ⊔ obj_level(this$0)
org.apache.bookkeeper.http.vertx.VertxHttpServer$2.meth,obj_level(l5),pc ⊔ level(l2) ⊔ level(l3) ⊔ level(l4) ⊔ level(l5) ⊔ level(l6) ⊔ level(this) ⊔ level(this$0) ⊔ obj_level(l2) ⊔ obj_level(l4) ⊔ obj_level(l5) ⊔ obj_level(l6) ⊔ obj_level(this) ⊔ obj_level(this$0)
org.apache.bookkeeper.http.vertx.VertxHttpServer$2.meth,obj_level(l2),pc ⊔ level(l2) ⊔ level(l3) ⊔ level(l4) ⊔ level(l5) ⊔ level(l6) ⊔ level(this) ⊔ level(this$0) ⊔ obj_level(l2) ⊔ obj_level(l4) ⊔ obj_level(l5) ⊔ obj_level(l6) ⊔ obj_level(this) ⊔ obj_level(this$0)
org.apache.bookkeeper.http.vertx.VertxHttpServer$2.meth,obj_level(this),pc ⊔ level(l2) ⊔ level(l3) ⊔ level(l4) ⊔ level(l5) ⊔ level(l6) ⊔ level(this) ⊔ level(this$0) ⊔ obj_level(l2) ⊔ obj_level(l4) ⊔ obj_level(l5) ⊔ obj_level(l6) ⊔ obj_level(this) ⊔ obj_level(this$0)
org.apache.bookkeeper.http.vertx.VertxHttpServer$2.meth,obj_level(l6),pc ⊔ level(l2) ⊔ level(l3) ⊔ level(l4) ⊔ level(l5) ⊔ level(l6) ⊔ level(this) ⊔ level(this$0) ⊔ obj_level(l2) ⊔ obj_level(l4) ⊔ obj_level(l5) ⊔ obj_level(l6) ⊔ obj_level(this) ⊔ obj_level(this$0)
org.apache.bookkeeper.http.vertx.VertxHttpHandlerFactory$1.meth,obj_level(this),pc ⊔ level(l2) ⊔ level(this) ⊔ level(this$0) ⊔ obj_level(l2) ⊔ obj_level(this) ⊔ obj_level(this$0)
org.apache.bookkeeper.http.vertx.VertxHttpHandlerFactory$1.meth,obj_level(this$0),pc ⊔ level(l2) ⊔ level(this) ⊔ level(this$0) ⊔ obj_level(l2) ⊔ obj_level(this) ⊔ obj_level(this$0)
org.apache.bookkeeper.http.vertx.VertxHttpHandlerFactory$1.meth,obj_level(l2),pc ⊔ level(l2) ⊔ level(this) ⊔ level(this$0) ⊔ obj_level(l2) ⊔ obj_level(this) ⊔ obj_level(this$0)
org.apache.bookkeeper.http.vertx.VertxHttpServer.meth,obj_level(this),pc ⊔ level(this) ⊔ obj_level(this)
org.apache.bookkeeper.http.vertx.VertxAbstractHandler.meth,obj_level(this),pc ⊔ level(this) ⊔ obj_level(this)
