org.apache.bookkeeper.stats.prometheus.PrometheusTextFormat.meth,obj_level(this),pc ⊔ level(this) ⊔ obj_level(this)
org.apache.bookkeeper.stats.prometheus.PrometheusMetricsProvider$2.meth,obj_level(this$0),pc ⊔ level(this) ⊔ level(this$0) ⊔ obj_level(this) ⊔ obj_level(this$0)
org.apache.bookkeeper.stats.prometheus.PrometheusMetricsProvider$2.meth,obj_level(this),pc ⊔ level(this) ⊔ level(this$0) ⊔ obj_level(this) ⊔ obj_level(this$0)
org.apache.bookkeeper.stats.prometheus.PrometheusMetricsProvider$1.meth,obj_level(this),pc ⊔ level(this) ⊔ level(this$0) ⊔ obj_level(this) ⊔ obj_level(this$0)
org.apache.bookkeeper.stats.prometheus.PrometheusMetricsProvider$1.meth,obj_level(this$0),pc ⊔ level(this) ⊔ level(this$0) ⊔ obj_level(this) ⊔ obj_level(this$0)
org.apache.bookkeeper.stats.prometheus.SimpleGauge.meth,obj_level(labels),pc ⊔ level(gauge) ⊔ level(labels) ⊔ level(this) ⊔ obj_level(gauge) ⊔ obj_level(labels) ⊔ obj_level(this)
org.apache.bookkeeper.stats.prometheus.SimpleGauge.meth,obj_level(gauge),pc ⊔ level(this) ⊔ obj_level(gauge) ⊔ obj_level(this)
org.apache.bookkeeper.stats.prometheus.SimpleGauge.meth,obj_level(this),pc ⊔ level(gauge) ⊔ level(labels) ⊔ level(this) ⊔ obj_level(gauge) ⊔ obj_level(labels) ⊔ obj_level(this)
org.apache.bookkeeper.stats.prometheus.DataSketchesOpStatsLogger.meth,obj_level(this),pc ⊔ level(labels) ⊔ level(this) ⊔ obj_level(labels) ⊔ obj_level(this)
org.apache.bookkeeper.stats.prometheus.DataSketchesOpStatsLogger.meth,obj_level(labels),pc ⊔ level(labels) ⊔ level(this) ⊔ obj_level(labels) ⊔ obj_level(this)
org.apache.bookkeeper.stats.prometheus.DataSketchesOpStatsLogger$ThreadLocalAccessor$1.meth,obj_level(this$0),pc ⊔ level(this) ⊔ level(this$0) ⊔ obj_level(this) ⊔ obj_level(this$0)
org.apache.bookkeeper.stats.prometheus.DataSketchesOpStatsLogger$ThreadLocalAccessor$1.meth,obj_level(this),pc ⊔ level(this) ⊔ level(this$0) ⊔ obj_level(this) ⊔ obj_level(this$0)
org.apache.bookkeeper.stats.prometheus.LongAdderCounter.meth,obj_level(labels),pc ⊔ level(labels) ⊔ level(this) ⊔ obj_level(labels) ⊔ obj_level(this)
org.apache.bookkeeper.stats.prometheus.LongAdderCounter.meth,obj_level(this),pc ⊔ level(labels) ⊔ level(this) ⊔ obj_level(labels) ⊔ obj_level(this)
org.apache.bookkeeper.stats.prometheus.PrometheusStatsLogger.meth,obj_level(this),pc ⊔ level(labels) ⊔ level(provider) ⊔ level(scope) ⊔ level(this) ⊔ obj_level(labels) ⊔ obj_level(provider) ⊔ obj_level(scope) ⊔ obj_level(this)
org.apache.bookkeeper.stats.prometheus.PrometheusStatsLogger.meth,obj_level(provider),pc ⊔ level(labels) ⊔ level(provider) ⊔ level(scope) ⊔ level(this) ⊔ obj_level(labels) ⊔ obj_level(provider) ⊔ obj_level(scope) ⊔ obj_level(this)
org.apache.bookkeeper.stats.prometheus.PrometheusStatsLogger.meth,obj_level(labels),pc ⊔ level(labels) ⊔ level(provider) ⊔ level(scope) ⊔ level(this) ⊔ obj_level(labels) ⊔ obj_level(provider) ⊔ obj_level(scope) ⊔ obj_level(this)
org.apache.bookkeeper.stats.prometheus.PrometheusStatsLogger.meth,obj_level(scope),pc ⊔ level(this) ⊔ obj_level(scope) ⊔ obj_level(this)
org.apache.bookkeeper.stats.prometheus.PrometheusServlet.meth,obj_level(provider),pc ⊔ level(provider) ⊔ level(this) ⊔ obj_level(provider) ⊔ obj_level(this)
org.apache.bookkeeper.stats.prometheus.PrometheusServlet.meth,obj_level(this),pc ⊔ level(provider) ⊔ level(this) ⊔ obj_level(provider) ⊔ obj_level(this)
org.apache.bookkeeper.stats.prometheus.ScopeContext.meth,obj_level(scope),pc ⊔ level(this) ⊔ obj_level(scope) ⊔ obj_level(this)
org.apache.bookkeeper.stats.prometheus.ScopeContext.meth,obj_level(this),pc ⊔ level(labels) ⊔ level(scope) ⊔ level(this) ⊔ obj_level(labels) ⊔ obj_level(scope) ⊔ obj_level(this)
org.apache.bookkeeper.stats.prometheus.ScopeContext.meth,obj_level(labels),pc ⊔ level(labels) ⊔ level(scope) ⊔ level(this) ⊔ obj_level(labels) ⊔ obj_level(scope) ⊔ obj_level(this)
org.apache.bookkeeper.stats.prometheus.DataSketchesOpStatsLogger$LocalData.meth,obj_level(this),pc ⊔ level(this) ⊔ obj_level(this)
