org.apache.rocketmq.remoting.protocol.header.filtersrv.RegisterFilterServerRequestHeader.meth,obj_level(this),pc ⊔ level(this) ⊔ obj_level(this)
org.apache.rocketmq.remoting.protocol.RemotingCommandType.meth,obj_level(l1),pc ⊔ level(l1) ⊔ level(l2) ⊔ level(this) ⊔ obj_level(l1) ⊔ obj_level(this)
org.apache.rocketmq.remoting.protocol.RemotingCommandType.meth,obj_level(this),pc ⊔ level(l1) ⊔ level(l2) ⊔ level(this) ⊔ obj_level(l1) ⊔ obj_level(this)
org.apache.rocketmq.client.trace.AsyncTraceDispatcher$AsyncDataSendTask.meth,obj_level(traceTopicName),pc ⊔ level(this) ⊔ level(this$0) ⊔ obj_level(this) ⊔ obj_level(this$0) ⊔ obj_level(traceTopicName)
org.apache.rocketmq.client.trace.AsyncTraceDispatcher$AsyncDataSendTask.meth,obj_level(this),pc ⊔ level(regionId) ⊔ level(this) ⊔ level(this$0) ⊔ level(traceTopicName) ⊔ level(traceTransferBeanList) ⊔ obj_level(regionId) ⊔ obj_level(this) ⊔ obj_level(this$0) ⊔ obj_level(traceTransferBeanList)
org.apache.rocketmq.client.trace.AsyncTraceDispatcher$AsyncDataSendTask.meth,obj_level(this$0),pc ⊔ level(regionId) ⊔ level(this) ⊔ level(this$0) ⊔ level(traceTopicName) ⊔ level(traceTransferBeanList) ⊔ obj_level(regionId) ⊔ obj_level(this) ⊔ obj_level(this$0) ⊔ obj_level(traceTransferBeanList)
org.apache.rocketmq.client.trace.AsyncTraceDispatcher$AsyncDataSendTask.meth,obj_level(traceTransferBeanList),pc ⊔ level(regionId) ⊔ level(this) ⊔ level(this$0) ⊔ level(traceTopicName) ⊔ level(traceTransferBeanList) ⊔ obj_level(regionId) ⊔ obj_level(this) ⊔ obj_level(this$0) ⊔ obj_level(traceTransferBeanList)
org.apache.rocketmq.client.trace.AsyncTraceDispatcher$AsyncDataSendTask.meth,obj_level(regionId),pc ⊔ level(this) ⊔ level(this$0) ⊔ obj_level(regionId) ⊔ obj_level(this) ⊔ obj_level(this$0)
org.apache.rocketmq.client.impl.consumer.ConsumeMessagePopOrderlyService.meth,obj_level(@defaultMQPushConsumerImpl),pc ⊔ level(@defaultMQPushConsumerImpl) ⊔ level(messageListener) ⊔ level(this) ⊔ obj_level(@defaultMQPushConsumerImpl) ⊔ obj_level(messageListener) ⊔ obj_level(this)
org.apache.rocketmq.client.impl.consumer.ConsumeMessagePopOrderlyService.meth,obj_level(this),pc ⊔ level(@defaultMQPushConsumerImpl) ⊔ level(messageListener) ⊔ level(this) ⊔ obj_level(@defaultMQPushConsumerImpl) ⊔ obj_level(messageListener) ⊔ obj_level(this)
org.apache.rocketmq.client.impl.consumer.ConsumeMessagePopOrderlyService.meth,obj_level(messageListener),pc ⊔ level(@defaultMQPushConsumerImpl) ⊔ level(messageListener) ⊔ level(this) ⊔ obj_level(@defaultMQPushConsumerImpl) ⊔ obj_level(messageListener) ⊔ obj_level(this)
org.apache.rocketmq.remoting.protocol.body.HARuntimeInfo.meth,obj_level(this),pc ⊔ level(this) ⊔ obj_level(this)
org.apache.rocketmq.remoting.metrics.RemotingMetricsConstant.meth,obj_level(this),pc ⊔ level(this) ⊔ obj_level(this)
org.apache.rocketmq.tools.command.controller.UpdateControllerConfigSubCommand.meth,obj_level(this),pc ⊔ level(this) ⊔ obj_level(this)
org.apache.rocketmq.remoting.protocol.header.namesrv.GetKVListByNamespaceRequestHeader.meth,obj_level(this),pc ⊔ level(this) ⊔ obj_level(this)
io.openmessaging.rocketmq.utils.OMSUtil$1.meth,obj_level(l1),pc ⊔ level(l1) ⊔ level(this) ⊔ obj_level(l1) ⊔ obj_level(this)
io.openmessaging.rocketmq.utils.OMSUtil$1.meth,obj_level(this),pc ⊔ level(l1) ⊔ level(this) ⊔ obj_level(l1) ⊔ obj_level(this)
org.apache.rocketmq.client.consumer.store.LocalFileOffsetStore.meth,obj_level(@mQClientFactory),pc ⊔ level(@groupName) ⊔ level(@mQClientFactory) ⊔ level(this) ⊔ obj_level(@groupName) ⊔ obj_level(@mQClientFactory) ⊔ obj_level(this)
org.apache.rocketmq.client.consumer.store.LocalFileOffsetStore.meth,obj_level(this),pc ⊔ level(@groupName) ⊔ level(@mQClientFactory) ⊔ level(this) ⊔ obj_level(@groupName) ⊔ obj_level(@mQClientFactory) ⊔ obj_level(this)
org.apache.rocketmq.client.consumer.store.LocalFileOffsetStore.meth,obj_level(@groupName),pc ⊔ level(@groupName) ⊔ level(@mQClientFactory) ⊔ level(this) ⊔ obj_level(@groupName) ⊔ obj_level(@mQClientFactory) ⊔ obj_level(this)
org.apache.rocketmq.remoting.protocol.header.PollingInfoResponseHeader.meth,obj_level(this),pc ⊔ level(this) ⊔ obj_level(this)
org.apache.rocketmq.client.latency.LatencyFaultToleranceImpl$FaultItem.meth,obj_level(this),pc ⊔ level(name) ⊔ level(this) ⊔ level(this$0) ⊔ obj_level(name) ⊔ obj_level(this) ⊔ obj_level(this$0)
org.apache.rocketmq.client.latency.LatencyFaultToleranceImpl$FaultItem.meth,obj_level(this$0),pc ⊔ level(name) ⊔ level(this) ⊔ level(this$0) ⊔ obj_level(name) ⊔ obj_level(this) ⊔ obj_level(this$0)
org.apache.rocketmq.client.latency.LatencyFaultToleranceImpl$FaultItem.meth,obj_level(name),pc ⊔ level(this) ⊔ level(this$0) ⊔ obj_level(name) ⊔ obj_level(this) ⊔ obj_level(this$0)
org.apache.rocketmq.remoting.protocol.body.ConsumeByWho.meth,obj_level(this),pc ⊔ level(this) ⊔ obj_level(this)
io.openmessaging.rocketmq.domain.SendResultImpl.meth,obj_level(messageId),pc ⊔ level(this) ⊔ obj_level(messageId) ⊔ obj_level(this)
io.openmessaging.rocketmq.domain.SendResultImpl.meth,obj_level(this),pc ⊔ level(messageId) ⊔ level(properties) ⊔ level(this) ⊔ obj_level(messageId) ⊔ obj_level(properties) ⊔ obj_level(this)
io.openmessaging.rocketmq.domain.SendResultImpl.meth,obj_level(properties),pc ⊔ level(this) ⊔ obj_level(properties) ⊔ obj_level(this)
org.apache.rocketmq.store.kv.CommitLogDispatcherCompaction.meth,obj_level(this),pc ⊔ level(srv) ⊔ level(this) ⊔ obj_level(srv) ⊔ obj_level(this)
org.apache.rocketmq.store.kv.CommitLogDispatcherCompaction.meth,obj_level(srv),pc ⊔ level(srv) ⊔ level(this) ⊔ obj_level(srv) ⊔ obj_level(this)
org.apache.rocketmq.tieredstore.exception.TieredStoreException.meth,obj_level(errorCode),pc ⊔ level(errorMessage) ⊔ level(this) ⊔ obj_level(errorCode) ⊔ obj_level(errorMessage) ⊔ obj_level(this)
org.apache.rocketmq.tieredstore.exception.TieredStoreException.meth,obj_level(errorMessage),pc ⊔ level(errorMessage) ⊔ level(this) ⊔ obj_level(errorMessage) ⊔ obj_level(this)
org.apache.rocketmq.tieredstore.exception.TieredStoreException.meth,obj_level(this),pc ⊔ level(errorCode) ⊔ level(errorMessage) ⊔ level(this) ⊔ obj_level(errorCode) ⊔ obj_level(errorMessage) ⊔ obj_level(this)
org.apache.rocketmq.container.logback.BrokerLogbackConfigurator.meth,obj_level(this),pc ⊔ level(this) ⊔ obj_level(this)
org.apache.rocketmq.broker.BrokerController$4.meth,obj_level(this),pc ⊔ level(this) ⊔ level(this$0) ⊔ obj_level(this) ⊔ obj_level(this$0)
org.apache.rocketmq.broker.BrokerController$4.meth,obj_level(this$0),pc ⊔ level(this) ⊔ level(this$0) ⊔ obj_level(this) ⊔ obj_level(this$0)
org.apache.rocketmq.proxy.grpc.v2.client.ClientActivity$1.meth,obj_level(this),pc ⊔ level(l2) ⊔ level(l3) ⊔ level(this) ⊔ level(this$0) ⊔ obj_level(l2) ⊔ obj_level(l3) ⊔ obj_level(this$0)
org.apache.rocketmq.proxy.grpc.v2.client.ClientActivity$1.meth,obj_level(this$0),pc ⊔ level(l2) ⊔ level(l3) ⊔ level(this) ⊔ level(this$0) ⊔ obj_level(l2) ⊔ obj_level(l3) ⊔ obj_level(this$0)
org.apache.rocketmq.proxy.grpc.v2.client.ClientActivity$1.meth,obj_level(l3),pc ⊔ level(l2) ⊔ level(l3) ⊔ level(this) ⊔ level(this$0) ⊔ obj_level(l2) ⊔ obj_level(l3) ⊔ obj_level(this$0)
